bias,Log Density,Log Commute Time,Log Household Size,Share Male,Share Hispanic,Share Black,Share Asian,Share 20-40,Share 40-60,Share $>$60,Log Mean Income,Share Pub. Trans.,Uninsured
1.0,10.508861,3.3357697,0.6151856,0.5059506409988725,0.25983208,0.1254897,0.119046666,0.0041879984,0.0024829833,0.0018323798,11.99056858882567,0.4611439010680157,0.057418466
1.0,11.416957,3.4843123,0.8197798,0.48659608598010906,0.25983208,0.1254897,0.119046666,0.003233109,0.0025367981,0.0026965672,11.093128139551801,0.5378045491324283,0.0710718
1.0,11.502863,3.2386785,0.5187938,0.4934314527119106,0.25983208,0.1254897,0.119046666,0.004412828,0.0019056964,0.0017447079,12.114675300593294,0.5312289304321177,0.044461038
1.0,11.515293,3.4531572,0.6931472,0.4547646364377047,0.25983208,0.1254897,0.119046666,0.0042970683,0.0024462515,0.002030229,11.410372116639888,0.5948012232415902,0.075556815
1.0,11.272183,3.2657595,0.6312718,0.5123041154624234,0.25983208,0.1254897,0.119046666,0.004482019,0.0024176454,0.0017038558,12.089257890938338,0.5653861464968153,0.039613556
1.0,11.29488,3.2386785,0.53649336,0.5119993689732011,0.25983208,0.1254897,0.119046666,0.003970933,0.0027047386,0.002267161,12.19121278262315,0.553661254857074,0.044000477
1.0,11.249677,3.2027464,0.6259384,0.5041382965711257,0.25983208,0.1254897,0.119046666,0.0050585065,0.0021221512,0.0018616219,11.984452932584306,0.5116610520860326,0.04937416
1.0,10.794926,3.269569,0.8197798,0.49420979776494817,0.25983208,0.1254897,0.119046666,0.0036743307,0.0022863701,0.0022364024,12.440397452966419,0.4863842662632375,0.054449283
1.0,10.93135,3.226844,0.53062826,0.5032710574322199,0.25983208,0.1254897,0.119046666,0.0046480466,0.002407058,0.0019343272,12.22925191847758,0.526566368310798,0.029998107
1.0,11.4528,3.2228677,0.5481214,0.4585795366194993,0.25983208,0.1254897,0.119046666,0.0050052484,0.0021106747,0.0018774297,11.930510166540904,0.3870018802693031,0.03615987
1.0,10.12882,3.2846637,0.65752,0.5076653976746579,0.25983208,0.1254897,0.119046666,0.00625373,0.0021277908,0.0007428748,11.934237675171072,0.4440465532676813,0.0760836
1.0,10.9505625,3.2995338,0.5187938,0.519402769763416,0.25983208,0.1254897,0.119046666,0.0043445854,0.0027892385,0.0021593096,11.954831785971594,0.4324284827006686,0.051157977
1.0,11.128129,3.2809112,0.52472854,0.4472684779433246,0.25983208,0.1254897,0.119046666,0.0031035156,0.002398481,0.0035465965,12.414528864092507,0.40493192910351916,0.02021121
1.0,11.7270355,3.3945084,0.59332687,0.4455408524888643,0.25983208,0.1254897,0.119046666,0.0030999447,0.0027123906,0.002662971,12.253828942109308,0.5959053580658129,0.036018603
1.0,11.142826,3.4750671,0.7030975,0.44707068635493574,0.25983208,0.1254897,0.119046666,0.0028334358,0.002950335,0.0025387956,12.344464083976316,0.7065441198412462,0.046564568
1.0,11.771813,3.508556,0.74193734,0.4488355830560912,0.25983208,0.1254897,0.119046666,0.003071984,0.0026027209,0.0026547434,11.90233571411686,0.6815043682079693,0.048915375
1.0,11.656694,3.5695326,0.9282193,0.4661513526991647,0.25983208,0.1254897,0.119046666,0.003745917,0.002797656,0.0014160329,11.469067616906344,0.7828192709660974,0.07440715
1.0,11.189372,3.5145261,0.9001613,0.46448405109768226,0.25983208,0.1254897,0.119046666,0.0040425304,0.002202249,0.0014269105,11.260970831801899,0.6628502889543125,0.08129321
1.0,11.4549055,3.566712,0.9001613,0.4562609749462073,0.25983208,0.1254897,0.119046666,0.0035285535,0.002296268,0.0018554151,11.09493726930676,0.6990267490971415,0.09147027
1.0,11.569902,3.6402142,0.87962675,0.46341544276099855,0.25983208,0.1254897,0.119046666,0.0037516162,0.002623413,0.0014965355,11.091163277944997,0.7217916231927262,0.10290754
1.0,11.413366,3.6913764,1.0224509,0.5121669712417043,0.25983208,0.1254897,0.119046666,0.0039929785,0.0025839186,0.0016435831,11.08169629547538,0.7687675027853895,0.14777756
1.0,11.405817,3.6189933,1.0986123,0.492616918572446,0.25983208,0.1254897,0.119046666,0.004069162,0.0024124398,0.0018203688,11.012973837756116,0.6619041517170682,0.13402668
1.0,11.51401,3.7305012,1.1184149,0.5052294030587074,0.25983208,0.1254897,0.119046666,0.0035217893,0.002547936,0.0019225456,11.169970259243295,0.6893621413335168,0.09656885
1.0,10.542335,3.7612002,1.0079579,0.4729326030869506,0.25983208,0.1254897,0.119046666,0.0033870456,0.0024236182,0.0019641968,11.09625784235407,0.6826409078120604,0.09812587
1.0,10.122451,3.5779479,0.8285518,0.4921110671266188,0.25983208,0.1254897,0.119046666,0.0033826274,0.0028154158,0.0017106825,10.805679360030782,0.7151392934498468,0.13050632
1.0,11.13226,3.6109178,0.76080585,0.4338651812688822,0.25983208,0.1254897,0.119046666,0.003333176,0.0022696375,0.0018650868,10.956788618494235,0.6842105263157895,0.085158154
1.0,11.16417,3.303217,0.7323679,0.4675602262100904,0.25983208,0.1254897,0.119046666,0.0039769337,0.0021636905,0.002172151,11.795529666831422,0.5221646035463365,0.05400829
1.0,10.933867,3.6686769,0.87962675,0.4442892328052053,0.25983208,0.1254897,0.119046666,0.003233467,0.0025328088,0.0015064515,10.890963417800805,0.7663559777737946,0.10072418
1.0,11.696357,3.7612002,1.0079579,0.46983892354846424,0.25983208,0.1254897,0.119046666,0.0035869398,0.0024298416,0.0020233463,11.044009244281447,0.7235340692096316,0.10013726
1.0,11.317104,3.2771447,0.6097656,0.4454253340098089,0.25983208,0.1254897,0.119046666,0.0035295114,0.0024752242,0.0025685779,12.344755745294298,0.40574162679425835,0.025902696
1.0,11.791282,3.314186,0.6729445,0.4564817249539837,0.25983208,0.1254897,0.119046666,0.0029305809,0.0023244808,0.002961697,12.308764603753719,0.5279648830697041,0.0331423
1.0,11.795676,3.5292974,0.67803353,0.42103501585834274,0.25983208,0.1254897,0.119046666,0.0035546594,0.002490796,0.002347991,12.154131773088157,0.6554689816936723,0.03040945
1.0,11.061499,3.4468079,0.7275486,0.5027494908350305,0.25983208,0.1254897,0.119046666,0.0033635437,0.0032647657,0.0013126273,12.302568485797615,0.4977118510336121,0.04857434
1.0,9.2817955,3.7841897,0.94000727,0.48041874730678563,0.18191177,0.0936588,0.08369848,0.0026123545,0.0027454311,0.0020181998,11.298617762318418,0.42319014719134873,0.07316883
1.0,9.622887,3.7305012,1.0784096,0.5110847402772534,0.18191177,0.0936588,0.08369848,0.0030902422,0.0027266843,0.0015604942,11.230124792409931,0.31695394906097246,0.113792546
1.0,8.947871,3.881564,1.1314021,0.48395597581770267,0.18191177,0.0936588,0.08369848,0.0028115797,0.002674779,0.0013726554,11.168997503377634,0.39830764581444544,0.08676083
1.0,9.285772,3.7977338,1.0331845,0.4851017094833349,0.18191177,0.0936588,0.08369848,0.002666412,0.0026738134,0.002171951,11.406108333406802,0.39647679202642405,0.09361349
1.0,9.179675,3.7471483,1.0367368,0.47871711847982795,0.18191177,0.0936588,0.08369848,0.0027692562,0.0027791827,0.0021356149,11.386761154348415,0.35192381369383174,0.069055356
1.0,8.893888,3.788725,0.9895412,0.4687991706928787,0.18191177,0.0936588,0.08369848,0.0023929582,0.0029631068,0.0024355343,11.482404399902276,0.2921054779982039,0.03664296
1.0,8.938742,3.8066626,1.0986123,0.4935600206079341,0.18191177,0.0936588,0.08369848,0.00245814,0.003181994,0.0014412674,11.64035955677858,0.20639975735517138,0.057844844
1.0,9.620441,3.8480177,1.0331845,0.4832134292565947,0.18191177,0.0936588,0.08369848,0.0024223954,0.0031005195,0.0023491206,11.558032664868993,0.270961291244108,0.04534853
1.0,8.504635,3.7999735,1.0715836,0.5078728461081402,0.18191177,0.0936588,0.08369848,0.0025460487,0.0031218063,0.0019417707,11.680979049966478,0.23867725524258593,0.038002916
1.0,9.530081,3.6635616,1.054312,0.4902986333727012,0.18191177,0.0936588,0.08369848,0.0025750801,0.0027602497,0.0018348236,11.379359786043652,0.2773357813137495,0.10505656
1.0,8.963506,3.8372993,1.054312,0.48023191064234005,0.18191177,0.0936588,0.08369848,0.0023818337,0.002858921,0.0023950997,11.59695406456568,0.22332178200135758,0.027124863
1.0,8.715306,3.7376697,1.0402768,0.4813028012449978,0.18191177,0.0936588,0.08369848,0.002529791,0.0027899065,0.0023847267,11.500113744242892,0.2676087709746077,0.049568746
1.0,10.759255,3.703768,0.94000727,0.46745439469320066,0.5587609,0.2915123,0.035909418,0.0028859868,0.002441957,0.0016817993,10.737526471793554,0.6830552133497592,0.10646333
1.0,11.244101,3.7352858,1.0919234,0.46683251477886206,0.5587609,0.2915123,0.035909418,0.003194286,0.0024893887,0.0011565341,10.565040861504896,0.6996383183462189,0.13813269
