bias,Log Density,Log Commute Time,Log Household Size,Share Male,Share Hispanic,Share Black,Share Asian,Share 20-40,Share 40-60,Share >60,log_mean_income,share_public_trans,uninsured,Essential - Pro,Nonessential - Pro,Science,Legal,Health Practice,Health Other,Firefighters,Law Enforcement,Essential - Service,Nonessential - Service,Industrial,Essential - Tech,Transportation
1.0,10.508861,3.3357697,0.6151856,0.5059506409988725,0.25983208,0.1254897,0.119046666,0.0041879984,0.0024829833,0.0018323798,11.99056858882567,0.4611439010680157,0.057418466,0.25588503,0.3384632,0.00664915,0.024719825,0.026918333,0.013780899,0.006059306,0.0010188214,0.04407743,0.02461258,0.011046168,0.0027883532,0.011367902
1.0,11.416957,3.4843123,0.8197798,0.48659608598010906,0.25983208,0.1254897,0.119046666,0.003233109,0.0025367981,0.0026965672,11.093128139551801,0.5378045491324283,0.0710718,0.11330851,0.26164237,0.005294965,0.013995172,0.011357046,0.03648474,0.007203398,0.0045465603,0.08988344,0.025146406,0.047505006,0.003180721,0.018541733
1.0,11.502863,3.2386785,0.5187938,0.4934314527119106,0.25983208,0.1254897,0.119046666,0.004412828,0.0019056964,0.0017447079,12.114675300593294,0.5312289304321177,0.044461038,0.23439014,0.34581682,0.008718627,0.031990312,0.030140907,0.010810216,0.0027300748,0.0024218406,0.030823426,0.0154777635,0.0077058566,0.0012549538,0.0042272126
1.0,11.515293,3.4531572,0.6931472,0.4547646364377047,0.25983208,0.1254897,0.119046666,0.0042970683,0.0024462515,0.002030229,11.410372116639888,0.5948012232415902,0.075556815,0.18330695,0.32225668,0.008654535,0.026006984,0.033143178,0.011257402,0.009175108,0.00067240745,0.052642994,0.043814935,0.024488645,0.0029065353,0.0063119535
1.0,11.272183,3.2657595,0.6312718,0.5123041154624234,0.25983208,0.1254897,0.119046666,0.004482019,0.0024176454,0.0017038558,12.089257890938338,0.5653861464968153,0.039613556,0.30470565,0.29143533,0.018035047,0.049301043,0.049104154,0.012719039,0.008544989,0.00055128965,0.018035047,0.02142154,0.014136641,0.009844458,0.0016932467
1.0,11.29488,3.2386785,0.53649336,0.5119993689732011,0.25983208,0.1254897,0.119046666,0.003970933,0.0027047386,0.002267161,12.19121278262315,0.553661254857074,0.044000477,0.32324335,0.3857076,0.010298018,0.05005981,0.029593801,0.006813335,0.0031206117,0.005591096,0.02428876,0.020466011,0.011052166,0.0031466167,0.004784938
1.0,11.249677,3.2027464,0.6259384,0.5041382965711257,0.25983208,0.1254897,0.119046666,0.0050585065,0.0021221512,0.0018616219,11.984452932584306,0.5116610520860326,0.04937416,0.25515226,0.38290784,0.017635599,0.037065517,0.033528145,0.0046652313,0.004101302,0.0011278581,0.022352098,0.018404594,0.013124167,0.00743361,0.004306367
1.0,10.794926,3.269569,0.8197798,0.49420979776494817,0.25983208,0.1254897,0.119046666,0.0036743307,0.0022863701,0.0022364024,12.440397452966419,0.4863842662632375,0.054449283,0.26927766,0.35004634,0.015266059,0.022143101,0.01599766,0.020289714,0.0019509341,0.002389894,0.04467639,0.013363898,0.025606008,0.0039506415,0.0067794956
1.0,10.93135,3.226844,0.53062826,0.5032710574322199,0.25983208,0.1254897,0.119046666,0.0046480466,0.002407058,0.0019343272,12.22925191847758,0.526566368310798,0.029998107,0.33893773,0.38358384,0.013288498,0.038407,0.026131345,0.0060365433,0.002430823,0.0009318154,0.022768708,0.013531581,0.00785966,0.00141798,0.003565207
1.0,11.4528,3.2228677,0.5481214,0.4585795366194993,0.25983208,0.1254897,0.119046666,0.0050052484,0.0021106747,0.0018774297,11.930510166540904,0.3870018802693031,0.03615987,0.32441005,0.33861905,0.01623174,0.04070421,0.0522662,0.009089774,0.00067424146,0.00054938195,0.015532526,0.016980896,0.0086153075,0.005343988,0.003995505
