varnames,week0_ppc_spec1_est,week0_ppc_spec1_se,week0_ppc_spec1_pval,week0_ppc_spec2_est,week0_ppc_spec2_se,week0_ppc_spec2_pval,week0_sp_spec1_est,week0_sp_spec1_se,week0_sp_spec1_pval,week0_sp_spec2_est,week0_sp_spec2_se,week0_sp_spec2_pval,week1_ppc_spec1_est,week1_ppc_spec1_se,week1_ppc_spec1_pval,week1_ppc_spec2_est,week1_ppc_spec2_se,week1_ppc_spec2_pval,week1_sp_spec1_est,week1_sp_spec1_se,week1_sp_spec1_pval,week1_sp_spec2_est,week1_sp_spec2_se,week1_sp_spec2_pval
bias,0.00910713139738485,2.71100729630736e-08+0i,0,-0.00312664322926346,4.44350062782805e-08+0i,0,0.837683681562004,0-3.71716476148401e-07i,0,0.666071559521855,4.47959874975664e-07+0i,0,0.0163597356888321,0-2.58596862885753e-08i,0,-0.0284232215254164,0-1.40413610955294e-07i,0,0.275065315291071,0-2.65370530378277e-07i,0,-0.30048650289076,0-8.27384436842703e-07i,0
log_density,-0.000294730655524396,0-2.23077520029388e-10i,0,-0.000283654892401556,0-2.62040283973012e-10i,0,0.0218811178329891,0-5.35613575255033e-09i,0,0.0170160309850205,5.50086564045921e-09+0i,0,-0.0012526123377515,4.62658796637464e-10+0i,0,-0.00146646060075593,0-1.19883520134593e-09i,0,0.00598463102188225,0-5.37986382122646e-09i,0,0.00504480667776422,0-4.22052840563674e-09i,0
log_commute_time,0.00247909097625495,2.7211070310113e-09+0i,0,-0.0020996552756201,0-3.20929013586597e-09i,0,0.0372994353601723,0-4.48831304873248e-08i,0,-0.0623385254623482,0-4.81247022524136e-08i,0,0.0145607865839514,2.20820329615927e-09+0i,0,0.00512479826307054,0-1.38258796653625e-08i,0,0.0724130674190454,0-5.37823191451624e-08i,0,0.0390117054050927,0-4.27378278220528e-08i,0
log_household_size,0.00490375193497529,8.39395557194757e-10+0i,0,0.000673248473408705,3.89479835430209e-09+0i,0,0.20533079730432,0-1.611773412623e-08i,0,0.133793281721505,4.57234453515787e-08+0i,0,0.010613346080242,0-2.40288420726647e-09i,0,-0.00396506006124861,0-2.97439939116439e-09i,0,0.163080274125407,0-1.53429694843093e-08i,0,0.068086581526041,0-4.39736041827842e-08i,0
share_male,0.0228428723127744,4.49525571221156e-09+0i,0,0.032164979197134,0-3.92164141275767e-09i,0,-0.0962693903999198,1.03241410243358e-07+0i,0,0.167420077672612,0-1.14030180245702e-07i,0,0.0356246884813674,0-1.308470526403e-08i,0,0.0583191941071443,0-1.25974599820824e-08i,0,-0.0183243800897268,5.73075975118535e-08+0i,0,0.00536801754874546,0-4.30123636529815e-08i,0
share_hispanic,0.00661464606153593,8.55207339639908e-10+0i,0,0.00602931983864509,2.88693597719323e-10+0i,0,-0.0412930624311985,0-6.28449931462612e-09i,0,-0.046396336516911,8.80282917528733e-09+0i,0,0.0183883352587626,0-1.3107443118073e-09i,0,0.016555259054425,0-1.28090959771089e-09i,0,0.0307039620839133,7.58699620615537e-09+0i,0,0.0391873431612158,0-7.45311808423382e-09i,0
share_black,-0.00414016863855343,1.34878389948008e-09+0i,0,0.000789700329374547,7.90443251880693e-10+0i,0,0.181143760077655,0-1.0628003237409e-08i,0,0.175400607895113,1.69093387851083e-08+0i,0,-0.0222897646518687,0-2.46771776290113e-09i,0,-0.0113849231232381,2.62524174988423e-09+0i,0,0.0159544203515715,0-1.00201100544464e-08i,0,0.063991944852781,0-2.07853066534689e-08i,0
share_asian,0.00556303445223013,1.44263791188564e-09+0i,0,0.00970627921919706,0-1.24408576793964e-09i,0,0.385002215100609,0-7.04698271137495e-09i,0,0.386795560799858,1.5734259287251e-08+0i,0,-0.00859405258274172,5.16200809828819e-10+0i,0,0.000822943092887754,1.1696538244122e-09+0i,0,0.116080490093746,5.92755138067746e-09+0i,0,0.1831728376592,1.10354524294908e-08+0i,0
share_20_40,-0.201108016215886,2.81305408492065e-07+0i,0,-0.221879936169026,0-3.7112390810173e-07i,0,8.28054718159344,3.96270596306048e-06+0i,0,-10.9047841009831,1.89186782779856e-06+0i,0,-0.750582974832107,0-8.14305926565293e-08i,0,-0.672139253253779,4.3853266466635e-07+0i,0,14.2512876764518,0-2.67604828020334e-06i,0,20.2665713148732,5.14912706583107e-06+0i,0
share_40_60,-1.76570346674629,8.84921295919363e-07+0i,0,-1.96380114035766,7.68993002454841e-07+0i,0,-18.697889486054,6.04532169996654e-06+0i,0,-29.4578039592838,0-1.23264443166253e-05i,0,-4.76794138277023,0-1.8774710608279e-06i,0,-5.94651403462681,0-2.08543384750547e-06i,0,17.9278755894952,2.69856963443238e-06+0i,0,12.1509099566013,0-1.44833795696466e-05i,0
